City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Dicabisagan,PH,17.0818,122.4157,87.12,77,100,9.82,overcast clouds
281,San Patricio,US,28.017,-97.5169,84.83,78,87,4.97,overcast clouds
282,Cayenne,GF,4.9333,-52.3333,77.09,1,75,0.0,broken clouds
283,Tangier,MA,35.7806,-5.8137,76.35,69,0,4.61,clear sky
284,Naze,JP,28.3667,129.4833,86.92,77,98,14.23,light rain
285,Atbasar,KZ,51.8,68.3333,85.33,37,0,6.69,clear sky
286,Kochi,IN,9.9399,76.2602,88.02,74,49,10.85,scattered clouds
287,Krasnoselkup,RU,65.7,82.4667,64.76,42,100,8.08,overcast clouds
288,Yuzhno-Kurilsk,RU,44.0306,145.8556,59.9,75,43,10.42,scattered clouds
289,Lensk,RU,60.7253,114.9278,87.51,36,59,2.01,broken clouds
290,Mbarara,UG,-0.608,30.65,72.57,37,80,6.13,broken clouds
291,Saint-Joseph,RE,-21.3667,55.6167,73.78,75,29,11.36,light rain
292,Manali,IN,13.1667,80.2667,91.49,63,100,15.95,overcast clouds
293,Gidole,ET,5.65,37.3667,55.42,87,100,2.26,light rain
294,Celestun,MX,20.8667,-90.4,77.81,75,9,9.13,clear sky
295,Bafilo,TG,9.35,1.2667,70.41,90,98,3.6,overcast clouds
296,Ayan,RU,56.45,138.1667,61.11,91,89,4.68,overcast clouds
297,Qarqin,AF,37.4185,66.0436,102.78,9,0,7.72,clear sky
298,Teknaf,BD,20.8624,92.3058,86.27,72,81,15.23,broken clouds
299,Agadir,MA,30.4202,-9.5982,70.25,75,3,2.33,clear sky
300,Synya,RU,65.3718,58.0387,84.61,40,100,4.03,overcast clouds
301,Nanortalik,GL,60.1432,-45.2371,43.27,85,100,3.96,overcast clouds
302,Kiruna,SE,67.8557,20.2251,50.92,87,100,6.91,overcast clouds
303,Katsuura,JP,35.1333,140.3,77.02,90,100,9.66,moderate rain
304,Mawlaik,MM,23.6333,94.4167,95.85,50,90,2.35,overcast clouds
305,Lamesa,US,32.7376,-101.951,75.52,50,32,9.42,scattered clouds
306,Seoul,KR,37.5683,126.9778,90.79,57,20,8.05,few clouds
307,Esperance,AU,-33.8667,121.9,62.85,67,33,23.42,scattered clouds
308,Fuente Palmera,ES,37.7049,-5.0996,70.75,20,0,5.37,clear sky
309,Ambovombe,MG,-25.1667,46.0833,72.36,51,0,0.78,clear sky
310,Santo Domingo De Guzman,MX,19.5883,-99.7747,55.98,96,100,1.32,overcast clouds
311,Merauke,ID,-8.4667,140.3333,78.48,71,100,14.9,overcast clouds
312,Vanavara,RU,60.34,102.2797,69.3,38,100,6.33,overcast clouds
313,Krasnokamensk,RU,50.0979,118.0369,71.78,73,100,4.52,overcast clouds
314,Botou,CN,38.0667,116.5667,99.18,28,100,6.6,overcast clouds
315,Banjar,ID,-8.19,114.9675,80.62,81,73,1.79,broken clouds
316,Nyandoma,RU,61.669,40.1991,72.03,50,100,3.49,overcast clouds
317,Korla,CN,41.7597,86.1469,89.67,22,25,12.84,scattered clouds
318,Vestmannaeyjar,IS,63.4427,-20.2734,50.45,74,100,2.42,overcast clouds
319,Marrakesh,MA,31.6315,-8.0083,73.47,73,40,4.61,scattered clouds
320,Yumen,CN,40.2833,97.2,70.83,41,100,2.55,overcast clouds
321,Douentza,ML,14.9951,-2.9517,85.39,48,21,4.88,few clouds
322,Tazovskiy,RU,67.4667,78.7,61.65,45,95,7.43,overcast clouds
323,Macusani,PE,-14.0833,-70.4333,34.63,63,100,3.4,overcast clouds
324,Tuatapere,NZ,-46.1333,167.6833,40.87,86,98,6.31,overcast clouds
325,Makakilo City,US,21.3469,-158.0858,79.12,66,0,13.8,clear sky
326,Inhambane,MZ,-23.865,35.3833,71.89,59,0,9.1,clear sky
327,Thompson,CA,55.7435,-97.8558,57.36,88,75,0.0,broken clouds
328,Kelowna,CA,49.8831,-119.4857,74.55,49,0,2.3,clear sky
329,Paranga,RU,56.7039,49.4047,68.59,70,83,13.56,broken clouds
330,Klaebu,NO,63.2976,10.4826,50.23,77,100,16.84,overcast clouds
331,Eureka,US,40.8021,-124.1637,57.92,85,19,4.0,few clouds
332,Port Macquarie,AU,-31.4333,152.9167,56.62,68,1,7.07,clear sky
333,Ajdabiya,LY,30.7554,20.2263,79.05,45,0,7.36,clear sky
334,San Jose,US,37.3394,-121.895,63.28,72,0,5.75,clear sky
335,Ginir,ET,7.1333,40.7,62.56,73,100,15.05,overcast clouds
336,Tecoanapa,MX,16.5167,-98.75,75.22,91,100,8.66,overcast clouds
337,Yudong,CN,29.385,106.5194,103.5,39,100,8.66,light rain
338,Hailar,CN,49.2,119.7,72.73,75,100,7.54,light rain
339,Porto Novo,BJ,6.4965,2.6036,76.82,85,52,5.57,light rain
340,Lompoc,US,34.6391,-120.4579,60.01,85,100,14.0,overcast clouds
341,Menongue,AO,-14.6585,17.691,57.97,39,0,8.79,clear sky
342,Iowa City,US,41.6611,-91.5302,75.25,88,75,21.85,broken clouds
343,Gondar,ET,12.6,37.4667,64.45,69,62,4.65,light rain
344,Taoudenni,ML,22.6783,-3.9836,94.42,11,7,18.92,clear sky
345,Kapit,MY,2.0167,112.9333,94.93,41,78,2.46,broken clouds
